扬州电视,#genre#
江都新闻,http://ott.mobaibox.com/PLTV/4/224/3221228323/index.m3u8
扬州新闻,http://ott.mobaibox.com/PLTV/3/224/3221228155/index.m3u8
扬州民生,http://ott.mobaibox.com/PLTV/3/224/3221228205/index.m3u8
扬州邗江,http://ott.mobaibox.com/PLTV/3/224/3221227867/index.m3u8
凤凰资讯,http://ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰中文,http://ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰香港,http://ott.mobaibox.com/PLTV/1/224/3221228530/index.m3u8
4K,#genre#
CCTV4K,http://ott.mobaibox.com/PLTV/4/224/3221228242/index.m3u8
CCTV4K,http://ott.mobaibox.com/PLTV/4/224/3221228228/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221228962/index.m3u8
CCTV8K,http://ott.mobaibox.com/PLTV/4/224/3221228165/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
4K修复,http://ott.mobaibox.com/PLTV/4/224/3221228141/index.m3u8
北京卫视4K,http://183.207.249.71/gitv/live1/-/G_BEIJING-4K
北京卫视4K,http://183.207.249.71/cntv/live1/-/HD-34M-2160P-beijingstv4k
北京卫视4K,http://ott.mobaibox.com/PLTV/3/224/3221228890/index.m3u8
广东卫视4K,http://183.207.249.71/gitv/live1/-/G_GUANGDONG-4K
广东卫视4K,http://183.207.249.71/PLTV/4/224/3221228838/1.m3u8
湖南卫视4K,http://183.207.249.71/gitv/live1/-/G_HUNAN-4K
湖南卫视4K,http://183.207.249.71/PLTV/4/224/3221228883/1.m3u8
江苏卫视4K,http://183.207.249.71/gitv/live1/-/G_JIANGSU-4K
江苏卫视4K,http://183.207.249.71/PLTV/4/224/3221228897/1.m3u8
山东卫视4K,http://183.207.249.71/gitv/live1/-/G_SHANDONG-4K
山东卫视4K,http://183.207.249.71/PLTV/4/224/3221228880/1.m3u8
东方卫视4K,http://183.207.249.71/gitv/live1/-/G_DONGFANG-4K
东方卫视4K,http://183.207.249.71/PLTV/4/224/3221228956/1.m3u8
深圳卫视4K,http://183.207.249.71/gitv/live1/-/G_SHENZHEN-4K
深圳卫视4K,http://183.207.249.71/PLTV/4/224/3221228835/1.m3u8
四川卫视4K,http://183.207.249.71/gitv/live1/-/G_SICHUAN-4K
四川卫视4K,http://183.207.249.71/PLTV/4/224/3221228877/1.m3u8
浙江卫视4K,http://183.207.249.71/gitv/live1/-/G_ZHEJIANG-4K
浙江卫视4K,http://183.207.249.71/PLTV/4/224/3221228900/1.m3u8
央视频道,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227546/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221227549/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221227617/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221227502/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221227505/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227626/index.m3u8
