扬州频道,#genre#
扬州新闻,https://yztv-wshls.homecdn.com/8bb.m3u8?t=1769563279&k=5543e7038b3793623e3717844bd4d7a8&wsSession=780ea3e5624eae61fdef9cda-176956328032289&wsIPSercert=2466b9e7cb2a0c51017b9606a2a31732
扬州新闻,http://zjtv-wshls.homecdn.com/live/8bb.m3u8
扬州新闻,http://zjtv.wshls.homecdn.com/live/8bb.flv
扬州新闻,rtmp://zjtv.wshls.homecdn.com/live/8bb
扬州民生,https://yztv-wshls.homecdn.com/8bd.m3u8?t=1769563355&k=803d988584b0dafc6b29179bb0a3c718&wsSession=780ea3e5624eae61fdef9cda-176956335608153&wsIPSercert=2466b9e7cb2a0c51017b9606a2a31732
扬州民生,http://zjtv-wshls.homecdn.com/live/8bd.m3u8
扬州民生,http://zjtv.wshls.homecdn.com/live/8bd.flv
扬州民生,rtmp://zjtv.wshls.homecdn.com/live/8bd
扬州江都,http://zjtv-wshls.homecdn.com/live/8c1.m3u8
扬州江都,https://yztv-wshls.homecdn.com/8c1.m3u8?t=1769563447&k=ff2e9f6ce17040f19ea0b401538951bb&wsSession=780ea3e5624eae61fdef9cda-176956344827358&wsIPSercert=2466b9e7cb2a0c51017b9606a2a31732
扬州江都,http://zjtv.wshls.homecdn.com/live/8c1.m3u8
扬州江都,http://zjtv.wshls.homecdn.com/live/8c1.flv
扬州江都,rtmp://zjtv.wshls.homecdn.com/live/8c1
扬州邗江,https://yztv-wshls.homecdn.com/8c3.m3u8?t=1769563396&k=88e1086904e89caed66a0778746e68a5&wsSession=ff7d88a439ad94f5e470f982-176956339745770&wsIPSercert=2466b9e7cb2a0c51017b9606a2a31732
扬州邗江,http://zjtv-wshls.homecdn.com/live/8c3.m3u8
扬州邗江,http://zjtv.wshls.homecdn.com/live/8c3.flv
扬州邗江,rtmp://zjtv.wshls.homecdn.com/live/8c3
央视频道,#genre#
CCTV1,http://112.6.202.38:880/chs001.m3u8
CCTV2,http://112.6.202.38:880/chs002.m3u8
CCTV3,http://112.6.202.38:880/chs003.m3u8
CCTV4,http://112.6.202.38:880/chs004.m3u8
CCTV5,http://112.6.202.38:880/chs005.m3u8
CCTV5+,http://112.6.202.38:880/chs006.m3u8
CCTV6,http://112.6.202.38:880/chs007.m3u8
CCTV7,http://112.6.202.38:880/chs008.m3u8
CCTV8,http://112.6.202.38:880/chs009.m3u8
CCTV9,http://112.6.202.38:880/chs010.m3u8
CCTV10,http://112.6.202.38:880/chs011.m3u8
CCTV11,http://112.6.202.38:880/chs012.m3u8
CCTV12,http://112.6.202.38:880/chs013.m3u8
CCTV13,http://112.6.202.38:880/chs014.m3u8
CCTV14,http://112.6.202.38:880/chs015.m3u8
CCTV15,http://112.6.202.38:880/chs016.m3u8
CCTV17,http://112.6.202.38:880/chs017.m3u8
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV1,http://j.s.bkpcp.top/jj/cctv1
CCTV2,http://j.s.bkpcp.top/jj/cctv2
CCTV3,http://j.s.bkpcp.top/jj/cctv3
CCTV4,http://j.s.bkpcp.top/jj/cctv4
CCTV5,http://j.s.bkpcp.top/jj/cctv5
CCTV5+,http://j.s.bkpcp.top/jj/cctv5p
CCTV6,http://j.s.bkpcp.top/jj/cctv6
CCTV7,http://j.s.bkpcp.top/jj/cctv7
CCTV8,http://j.s.bkpcp.top/jj/cctv8
CCTV9,http://j.s.bkpcp.top/jj/cctv9
